Word,Level
합격,4
해롭다,4
해산물,4
해치다,4
험하다,4
형태,4
호기심,4
환경,4
활발하다,4
후,4
후회,4
후회하다,4
훈련,4
훑어보다,4
휘젓다,4
흐뭇하다,4
흥겹다,4
흥미,4
흥미롭다,4
힘차다,4
갈등,5
감시하다,5
갖추다,5
개방하다,5
갸웃하다,5
거르다,5
건조하다,5
검토하다,5
겨루다,5
격려하다,5
경치,5
고슴도치,5
관련,5
관리하다,5
광부,5
괴상하다,5
구역,5
굶주림,5
규모,5
그것,5
꿈,5
꿰뚫다,5
끄다,5
끝맺다,5
나르다,5
낯익다,5
년,5
노력,5
노마,5
누가,5
눈여겨보다,5
다니다,5
대다,5
대왕,5
도,5
독도,5
드물다,5
등줄기,5
딱하다,5
딸,5
로마,5
마땅히,5
말짱하다,5
명,5
문득,5
문자,5
바로,5
반려동물,5
발음,5
별점,5
보듬다,5
봉,5
분량,5
비속어,5
빚,5
빚지다,5
사건,5
사라,5
사용료,5
사전,5
사회자,5
설득하다,5
세월,5
세차다,5
소심하다,5
속하다,5
수명,5
습하다,5
아시아,5
아주,5
어떠하다,5
어찌,5
언뜻,5
얼싸안다,5
엄격히,5
열정,5
영란,5
영양,5
영향,5
오로지,5
옹고집,5
우,5
우수성,5
우울하다,5
웅장하다,5
위독하다,5
위해,5
위험성,5
유난히,5
유럽,5
유일하다,5
유지하다,5
은근히,5
이렇다,5
이롭다,5
이르다,5
이제,5
인간,5
일상적,5
일자리,5
자료,5
재물,5
적,5
적당량,5
적절하다,5
적절하다,5
점잖다,5
제시,5
제안,5
주,5
주시경,5
증가하다,5
질병,5
참여,5
참여하다,5
처벌,5
철저히,5
초라하다,5
총각,5
총명,5
총명하다,5
카이사르,5
터,5
톱니,5
통증,5
투발루,5
파헤치다,5
판단하다,5
평온하다,5
폭넓다,5
풍부하다,5
한니발,5
해결,5
화성,5
활용하다,5
회의,5
훗날,5
흐름,5
흐름,5
감상,6
감정,6
고,6
고려청자,6
공감,6
관계,6
권장하다,6
근거,6
난,6
누리,6
단속,6
데,6
독,6
두다,6
뒷받침,6
때문,6
로스,6
만,6
망,6
매체,6
모,6
바위,6
반장,6
번,6
볼,6
비교,6
설,6
악기,6
연극,6
오후,6
요약,6
우리말,6
유관순,6
이용,6
인공,6
잎,6
장,6
정해,6
조사,6
조정,6
조화,6
주어,6
주장,6
준,6
지금,6
지능,6
지식,6
찬란하다,6
켈러,6
탄력,6
턱없이,6
토론,6
토의,6
파악,6
평가,6
학비,6
한없이,6
호응,6
흑,6
가치,7
개발,7
거나,7
거미줄,7
건반,7
공연,7
공정,7
관용,7
구조,7
궁궐,7
극본,7
까마귀,7
꼭,7
논,7
뉴스,7
담기다,7
맡다,7
먼지,7
목적,7
몽당,7
무대,7
무역,7
미세,7
바탕,7
밖,7
버들,7
별로,7
비유,7
상수리,7
선생,7
설문,7
성민,7
속담,7
수원,7
실태,7
어리다,7
언어,7
없이,7
올바르다,7
왕가,7
원님,7
이루다,7
점검,7
조각,7
진진,7
처,7
추구,7
추론,7
추사,7
추천,7
특성,7
판단,7
하자,7
호머,7
홍,7
효과,7
